"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 11:36:03 GMT 2022","Wed Mar 30 11:36:03 GMT 2022","195","tests.tagging_ui.tagging_window_controls","test_ticket_window_stats","","","","test_search_category",""
"passed","Wed Mar 30 11:36:09 GMT 2022","Wed Mar 30 11:36:10 GMT 2022","1141","tests.tagging_ui.tagging_window_controls","test_update_filter","","","","test_delete_filter",""
"passed","Wed Mar 30 11:35:54 GMT 2022","Wed Mar 30 11:35:54 GMT 2022","175","tests.tagging_ui.tagging_tickets","test_keyboard_navigation","","","","test_navigate_to_the_next_ticket_by_command_enter",""
"passed","Wed Mar 30 11:35:50 GMT 2022","Wed Mar 30 11:35:50 GMT 2022","86","tests.tagging_ui","test_ticket_source","","","","test_active_data",""
"passed","Wed Mar 30 11:36:15 GMT 2022","Wed Mar 30 11:36:16 GMT 2022","1131","tests.tagging_ui.tagging_window_controls","test_update_sort","","","","test_delete_sort",""
"passed","Wed Mar 30 11:35:57 GMT 2022","Wed Mar 30 11:35:57 GMT 2022","82","tests.tagging_ui.tagging_window_controls","test_add_another_filter","","","","test_additional_filter_value",""
"passed","Wed Mar 30 11:35:50 GMT 2022","Wed Mar 30 11:35:50 GMT 2022","45","tests.tagging_ui","test_ticket_source","","","","test_issue_models_select",""
"passed","Wed Mar 30 11:35:55 GMT 2022","Wed Mar 30 11:35:55 GMT 2022","184","tests.tagging_ui.tagging_tickets","test_keyboard_navigation","","","","test_navigate_to_next_ticket_in_next_tag",""
"passed","Wed Mar 30 11:35:59 GMT 2022","Wed Mar 30 11:35:59 GMT 2022","10","tests.tagging_ui.tagging_window_controls","test_add_sort","","","","test_create_tagging_window_sort_req",""
"passed","Wed Mar 30 11:35:50 GMT 2022","Wed Mar 30 11:35:50 GMT 2022","46","tests.tagging_ui","test_ticket_source","","","","test_category_models_active_option",""
"passed","Wed Mar 30 11:35:37 GMT 2022","Wed Mar 30 11:35:37 GMT 2022","22","tests.tagging_ui","test_landing_page","","","","test_page_content",""
"passed","Wed Mar 30 11:35:57 GMT 2022","Wed Mar 30 11:35:57 GMT 2022","10","tests.tagging_ui.tagging_window_controls","test_add_another_filter","","","","test_create_additional_tagging_window_filter_req",""
"passed","Wed Mar 30 11:35:44 GMT 2022","Wed Mar 30 11:35:44 GMT 2022","144","tests.tagging_ui","test_tagging_window_models","","","","test_archive_active_record_request",""
"passed","Wed Mar 30 11:36:11 GMT 2022","Wed Mar 30 11:36:12 GMT 2022","1102","tests.tagging_ui.tagging_window_controls","test_update_sort","","","","test_update_sort_field_request",""
